reap_id,ince_id,recu_id,inst_id_origen,inst_id_destino,apoy_id,reap_tipo_recurso,reap_cantidad_personas,reap_fecha_salida,reap_fecha_requerida,reap_pers_id_contacto,reap_fecha_requerida_inicio,reap_fecha_requerida_fin,reap_tipo_apoyo,reap_recu_id_contacto
7020992,7020069.0,,,6,7020990,7,,,2015-04-06 09:00:00,,2015-04-06,2015-04-07,1.0,3751722.0
6734600,6732129.0,,,13,6734598,7,,,2015-02-18 08:00:00,,2015-02-18,2015-02-18,1.0,3745263.0
6594994,6566544.0,3743073.0,8.0,9,6594803,3,11.0,2015-01-31 09:15:00,2015-01-31 04:09:00,,2015-01-30,2015-02-06,1.0,91.0
6696154,6693449.0,,,5,6696152,7,,,2015-02-13 08:00:00,,2015-02-13,2015-02-16,1.0,3744645.0
6618938,6615812.0,,,10,6618937,7,,,2015-02-03 15:09:00,,2015-02-03,2015-02-03,1.0,3746561.0
6769612,,,,9,6769611,12,,,2015-02-22 14:33:00,,2015-02-22,2015-02-27,2.0,91.0
7058326,6966221.0,,6.0,9,7049573,12,,,2015-04-13 08:59:00,,2015-04-13,2015-04-20,1.0,91.0
6636038,6634536.0,,,11,6636037,7,,,2015-02-05 12:00:00,,2015-02-05,2015-02-09,1.0,3746777.0
6594992,6566544.0,3800981.0,7.0,9,6594803,3,14.0,2015-01-30 09:30:00,2015-01-31 04:09:00,,2015-01-30,2015-02-06,1.0,91.0
6749891,6727759.0,,11.0,9,6748972,12,,,2015-02-17 11:56:00,,2015-02-17,2015-02-24,1.0,3749466.0
6647369,6597802.0,,,10,6647368,12,,,2015-02-07 12:11:00,,2015-02-07,2015-02-15,1.0,3745893.0
6700901,6696488.0,,,7,6700900,3,12.0,,2015-02-14 12:37:00,,2015-02-13,2015-02-17,1.0,3745759.0
6619154,6615812.0,6357581.0,8.0,10,6618937,7,,2015-02-03 08:08:00,2015-02-03 15:37:00,,2015-02-02,2015-02-04,1.0,3746561.0
6749893,6727759.0,,11.0,9,6748972,12,,,2015-02-17 11:56:00,,2015-02-17,2015-02-24,1.0,3749466.0
6700902,6696488.0,,,7,6700900,3,12.0,,2015-02-14 12:37:00,,2015-02-13,2015-02-17,1.0,3745759.0
6700903,6696488.0,,,7,6700900,3,12.0,,2015-02-14 12:37:00,,2015-02-13,2015-02-17,1.0,3745759.0
6771312,6763204.0,,,10,6771311,3,20.0,,2015-02-24 20:03:00,,2015-02-24,2015-03-05,1.0,3746609.0
6647387,6597802.0,,,10,6647386,12,,,2015-02-07 12:14:00,,2015-02-07,2015-02-15,1.0,3745893.0
6616955,6615812.0,4655660.0,9.0,10,6616954,7,,2015-02-02 14:06:00,2015-02-02 10:30:00,,2015-02-02,2015-02-04,1.0,3747524.0
6624569,6597802.0,6191979.0,8.0,10,6624568,7,,2015-02-03 08:08:00,2015-02-03 10:51:00,,2015-02-03,2015-02-13,1.0,3745893.0
6678619,6597802.0,,,10,6678618,3,20.0,,2015-02-12 19:49:00,,2015-02-12,2015-02-18,1.0,3746633.0
6608160,6582147.0,3743436.0,11.0,10,6608159,3,10.0,2015-02-04 08:00:00,2015-02-04 11:00:00,,2015-02-04,2015-02-15,1.0,3745893.0
6771325,6731029.0,,,10,6771324,3,20.0,,2015-02-24 20:13:00,,2015-02-24,2015-03-05,1.0,3746609.0
7058328,6966221.0,,12.0,9,7049573,12,,,2015-04-13 08:59:00,,2015-04-13,2015-04-14,1.0,91.0
6700035,6693449.0,3742815.0,13.0,5,6700034,3,14.0,2015-02-13 10:59:00,2015-02-13 13:00:00,,2015-02-13,2015-02-15,1.0,51.0
6781967,6778058.0,3743436.0,11.0,9,6769611,3,9.0,2015-02-24 12:59:00,2015-02-23 05:52:00,,2015-02-23,2015-03-04,1.0,3749466.0
6711132,6727759.0,4465288.0,11.0,9,6711130,3,4.0,2015-02-19 15:36:00,2015-02-14 17:44:00,,2015-02-14,2015-02-25,1.0,3749466.0
